id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine colour
1514,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,1
1515,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,1
1516,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,1
1517,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5,1
1518,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,1
1519,6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5,0
1520,7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6,1
1521,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,0
1522,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4,1
1523,6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7,1
1524,8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5,0
1525,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,0
1526,7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5,1
1527,11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,0
1528,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,1
1529,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,0
1530,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,0
1531,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5,1
1532,5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4,5,1
1533,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5,0
1534,7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6,0
1535,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,0
1536,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6,1
1537,6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6,1
1538,6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,8,1
1539,9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6,1
1540,7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5,0
1541,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,1
1542,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,1
1543,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5,1
1544,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,0
1545,7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6,1
1546,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,1
1547,6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6,1
1548,8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6,1
1549,8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8,1
1550,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6,1
1551,5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6,1
1552,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,0
1553,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,0
1554,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,0
1555,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,0
1556,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,6,0
1557,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,1
1558,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,0
1559,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,0
1560,5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,5,1
1561,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,0
1562,5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6,1
1563,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,0
1564,9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6,0
1565,7,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6,1
1566,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6,0
1567,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4,1
1568,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,0
1569,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,0
1570,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,0
1571,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5,0
1572,5.8,0.19,0.25,10.8,0.042,33,124,0.99646,3.22,0.41,9.2,6,1
1573,7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6,1
1574,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,0
1575,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,1
1576,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,0
1577,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6,0
1578,7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7,1
1579,7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7,0
1580,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,0
1581,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,0
1582,7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6,0
1583,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,0
1584,6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7,1
1585,8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,1
1586,10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6,0
1587,7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7,1
1588,12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,0
1589,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,1
1590,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5,1
1591,8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,0
1592,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,0
1593,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6,0
1594,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5,1
1595,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5,0
1596,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6,0
1597,7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7,1
1598,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,0
1599,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,0
1600,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,0
1601,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,0
1602,7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,1
1603,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,1
1604,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,0
1605,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,1
1606,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,0
1607,7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5,1
1608,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,0
1609,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,1
1610,9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6,1
1611,5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6,1
1612,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,1
1613,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,0
1614,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,1
1615,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5,1
1616,12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,0
1617,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,0
1618,7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,1
1619,6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6,1
1620,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,1
1621,9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,0
1622,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,1
1623,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,1
1624,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,0
1625,6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5,1
1626,11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,0
1627,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7,1
1628,7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,6,1
1629,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,0
1630,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,0
1631,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,0
1632,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,0
1633,6.1,0.18,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,6,1
1634,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,0
1635,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,0
1636,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,1
1637,6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,6,1
1638,8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,0
1639,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1
1640,8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7,0
1641,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,0
1642,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,0
1643,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,1
1644,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,0
1645,6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6,1
1646,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5,1
1647,7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5,1
1648,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5,1
1649,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,0
1650,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,0
1651,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,0
1652,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,0
1653,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,0
1654,6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5,1
1655,7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7,0
1656,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,1
1657,8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6,0
1658,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5,1
1659,6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,7,1
1660,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7,0
1661,8.1,0.43,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3,7,1
1662,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,0
1663,6.8,0.45,0.36,5,0.033,28,156,0.991,3.11,0.4,12.4,7,1
1664,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,0
1665,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5,1
1666,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,4,1
1667,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,0
1668,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5,1
1669,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6,0
1670,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,0
1671,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,0
1672,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7,1
1673,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,0
1674,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,0
1675,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,1
1676,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,7,1
1677,6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6,1
1678,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5,1
1679,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,0
1680,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,1
1681,7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6,1
1682,6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6,1
1683,7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5,1
1684,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5,1
1685,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,1
1686,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7,1
1687,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4,1
1688,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,0
1689,7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7,0
1690,6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5,1
1691,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,1
1692,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,1
1693,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6,1
1694,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,0
1695,5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6,1
1696,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,0
1697,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,5,1
1698,6.6,0.35,0.35,6,0.063,31,150,0.99537,3.1,0.47,9.4,6,1
1699,5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6,1
1700,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,0
1701,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,0
1702,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,0
1703,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,1
1704,6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4,1
1705,9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,0
1706,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,0
1707,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6,0
1708,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,1
1709,5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,6,0
1710,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,0
1711,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5,1
1712,6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,6,1
1713,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,1
1714,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,0
1715,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6,1
1716,10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,0
1717,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,1
1718,9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6,0
1719,9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6,0
1720,9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,0
1721,6.8,0.24,0.35,6.4,0.048,44,172,0.9944,3.29,0.55,10.5,7,1
1722,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,0
1723,6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6,1
1724,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,0
1725,6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,6,1
1726,11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6,0
1727,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6,1
1728,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,0
1729,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,0
1730,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,1
1731,7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,6,1
1732,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,0
1733,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,0
1734,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,0
1735,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,7,1
1736,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,0
1737,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,0
1738,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,0
1739,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5,1
1740,11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,6,0
1741,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,0
1742,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,0
1743,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,0
1744,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7,1
1745,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,0
1746,6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7,1
1747,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,0
1748,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,0
1749,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,0
1750,6.7,0.21,0.37,2.5,0.034,35,89,0.9913,3.25,0.5,11,7,1
1751,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,0
1752,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1
1753,7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,0
1754,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,0
1755,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,1
1756,5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,1
1757,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,1
1758,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,0
1759,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,0
1760,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,1
1761,6.8,0.13,0.39,1.4,0.034,19,102,0.99121,3.23,0.6,11.3,7,1
1762,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,0
1763,8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,0
1764,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,7,1
1765,6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6,1
1766,9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5,0
1767,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,0
1768,8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13,6,1
1769,8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7,0
1770,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,0
1771,7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6,1
1772,8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,6,1
1773,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,0
1774,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7,1
1775,6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7,1
1776,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6,0
1777,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,0
1778,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,0
1779,9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,0
1780,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,6,1
1781,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,1
1782,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,0
1783,6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6,0
1784,7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,5,1
1785,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5,0
1786,6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7,0
1787,6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,0
1788,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,0
1789,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,0
1790,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,1
1791,12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,0
1792,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,0
1793,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6,0
1794,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5,1
1795,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,1
1796,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6,0
1797,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,0
1798,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6,1
1799,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,0
1800,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,0
1801,6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,0
1802,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7,0
1803,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,0
1804,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,0
1805,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,1
1806,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,1
1807,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,1
1808,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.13333333,7,1
1809,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,1
